Admiration
Adoration
Appréciation esthétique
Amusement
Colère
Anxiété
Émerveillement
Malaise (embarrassement)
Ennui
Calme (sérénité)
Confusion
Envie (craving)
Dégoût
Douleur empathique
Intérêt étonné, intrigué
Excitation (montée d’adrénaline)
Peur
Horreur
Intérêt
Joie
Nostalgie
Soulagement
Romance
Tristesse
Satisfaction
Désir sexuel
Surprise
