admiration
adoration
appréciation esthétique
amusement
colère
anxiété
émerveillement
malaise (embarrassement)
ennui
calme (sérénité)
confusion
envie (craving)
dégoût
douleur empathique
intérêt étonné, intrigué
excitation (montée d’adrénaline)
peur
horreur
intérêt
joie
nostalgie
soulagement
romance
tristesse
satisfaction
désir sexuel
surprise
